R,G,B
17,40,242
18,39,240
19,38,239
20,37,239
22,35,237
23,35,235
25,34,235
26,32,232
28,31,230
30,29,227
31,29,227
32,28,226
34,26,223
36,26,221
37,25,221
38,25,219
41,24,218
42,22,215
44,21,215
44,21,213
45,20,210
46,19,210
48,19,208
49,18,208
50,18,207
53,17,205
55,16,203
55,16,203
54,14,199
55,13,199
57,13,198
60,12,196
61,11,196
62,11,194
62,11,192
61,12,192
66,8,190
66,8,190
67,7,190
67,8,188
67,6,187
69,6,185
70,5,185
70,5,183
72,4,179
76,3,180
68,6,179
74,1,178
76,1,179
75,5,179
75,1,176
63,1,172
250,89,81
254,0,2
255,1,0
253,3,5
254,3,0
254,1,0
255,2,4
254,6,4
255,5,0
254,5,0
255,6,0
254,7,0
255,8,0
253,9,0
254,10,0
254,10,0
255,11,0
254,12,0
255,13,1
254,14,1
255,15,0
254,17,1
255,18,2
255,18,2
254,19,0
255,20,1
255,20,1
254,22,0
254,24,0
255,25,1
255,26,2
255,27,0
254,29,1
255,30,2
254,31,0
255,32,1
254,34,0
255,35,1
254,36,0
254,36,0
255,38,2
255,40,3
255,40,1
255,42,2
255,44,1
253,44,1
254,46,0
253,47,0
255,49,0
255,49,0
255,51,0
254,53,1
254,53,0
254,55,0
253,57,0
253,57,0
255,59,1
255,59,0
255,61,0
255,63,1
254,65,1
255,66,0
255,68,1
255,68,1
255,71,1
255,71,0
255,73,0
255,73,0
255,75,1
255,76,1
255,78,2
255,78,2
253,80,1
254,81,2
254,82,0
254,83,1
255,85,0
255,86,1
255,88,0
254,89,0
254,90,1
255,92,1
253,92,1
254,94,0
254,95,1
255,97,0
255,98,1
255,98,1
254,100,0
254,100,0
254,102,1
255,104,1
253,104,1
254,105,2
254,107,3
254,107,1
255,109,3
255,110,1
255,110,1
255,112,0
255,113,1
254,114,0
255,115,0
255,115,0
254,117,1
254,118,0
254,119,1
255,121,0
255,122,1
255,124,0
255,125,1
255,125,1
255,127,0
255,127,0
254,129,1
255,130,1
255,133,0
255,134,1
255,134,1
255,136,0
255,138,0
254,138,0
255,139,0
255,139,0
254,141,1
254,143,1
255,144,2
255,144,2
255,148,0
254,148,0
255,149,1
255,151,0
255,151,0
254,153,0
255,154,0
255,154,0
254,157,0
255,158,1
255,158,1
254,160,0
255,161,1
255,163,0
255,163,0
255,163,0
255,166,0
254,167,0
255,168,1
255,169,1
255,170,1
254,172,0
255,173,1
255,173,1
255,176,1
254,177,1
254,177,0
254,179,0
255,180,0
255,182,0
255,182,0
255,183,0
254,186,1
254,186,1
255,187,0
254,189,1
255,190,0
254,191,0
255,192,0
255,192,0
254,194,0
254,194,0
254,196,0
254,196,0
254,198,1
255,199,2
254,201,1
254,201,1
254,201,0
255,202,0
255,202,0
255,204,1
255,204,1
254,206,0
254,206,0
254,206,0
254,208,0
254,208,0
254,208,0
255,209,1
255,210,0
255,211,0
255,211,0
255,212,1
254,213,1
253,213,1
253,213,1
254,214,2
254,215,0
254,215,0
252,216,0
253,217,1
253,217,0
252,216,0
251,216,0
249,216,0
246,215,0
244,215,1
242,215,1
241,214,0
239,215,1
237,216,1
235,216,0
231,216,1
227,216,0
223,217,1
221,216,0
219,216,1
215,216,0
213,217,0
211,216,0
207,216,1
202,215,1
200,215,0
196,215,1
196,215,1
190,217,1
185,214,0
180,213,0
178,212,1
174,212,2
170,213,2
167,211,2
163,209,0
157,209,0
155,209,1
153,209,0
148,208,0
143,206,1
138,205,1
136,205,0
133,205,1
125,204,1
124,203,0
120,203,1
117,201,1
112,200,0
107,199,0
104,198,0
101,197,0
95,197,0
93,197,0
90,196,0
85,195,0
81,194,0
76,193,0
72,192,0
71,192,0
64,189,0
63,189,1
59,188,0
55,188,1
51,187,1
46,186,1
43,186,0
41,185,1
36,185,0
35,183,0
33,183,0
29,183,1
26,181,1
23,180,1
20,179,0
18,179,1
14,179,0
14,179,1
11,178,0
9,178,1
6,177,1
4,176,2
2,176,1
2,176,1
0,174,0
0,174,1
0,173,3
0,173,5
0,173,6
0,172,10
0,172,12
0,172,12
1,172,16
1,172,18
1,171,20
1,171,23
0,171,25
0,171,30
0,171,31
0,171,33
0,170,37
0,170,38
1,170,41
1,170,45
0,170,48
1,170,53
1,170,55
1,169,56
0,169,62
0,169,63
0,169,66
0,169,70
0,170,74
0,169,78
0,168,81
0,168,83
1,170,89
1,169,91
1,169,94
1,168,96
1,168,99
1,168,99
1,167,101
1,167,101
0,168,107
0,168,109
0,167,111
0,167,113
0,168,116
0,168,117
0,168,119
0,167,121
1,168,125
1,168,125
1,167,127
1,167,129
1,166,132
1,166,134
1,166,136
1,165,138
0,166,140
0,165,141
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,153
0,164,157
0,164,157
0,163,158
0,163,160
0,164,163
0,164,165
0,164,166
0,164,166
0,163,170
0,163,170
0,163,172
0,162,173
0,161,176
0,160,178
0,160,180
0,159,181
0,158,183
0,158,183
0,158,185
0,158,185
0,158,187
0,157,188
0,157,190
0,157,190
0,155,193
0,155,195
0,155,195
1,154,196
1,153,200
0,152,201
0,152,201
0,152,202
1,147,206
1,147,206
1,147,207
0,145,210
1,144,212
0,143,213
0,142,214
0,142,216
0,140,219
0,140,219
1,138,219
1,137,221
1,135,222
0,134,223
1,132,223
1,132,223
0,130,228
0,129,230
0,128,229
0,126,229
0,124,230
0,122,231
1,121,233
0,120,233
0,119,237
0,119,237
1,117,238
0,116,239
0,114,239
0,112,240
2,111,242
1,110,241
0,107,242
0,107,242
0,105,243
0,103,244
0,101,245
0,100,246
0,98,247
0,98,247
0,95,249
1,94,249
0,93,250
1,91,250
0,89,251
0,88,250
0,86,251
0,86,251
0,84,252
1,84,252
0,82,252
0,80,253
1,78,254
1,76,253
1,76,255
0,75,254
0,73,255
0,73,255
0,72,254
0,70,254
0,69,253
0,67,252
0,67,252
0,65,253
0,63,255
0,63,255
0,63,255
1,61,255
1,59,254
1,57,254
1,57,254
2,56,253
5,54,253
4,53,252
5,52,252
5,51,251
8,50,250
9,48,249
10,47,249
11,46,249
13,44,246
15,44,246
15,42,245
16,42,243
17,40,242
18,39,240
19,38,239
20,37,239
22,35,237
23,35,235
25,34,235
26,32,232
28,31,230
30,29,227
31,29,227
32,28,226
34,26,223
36,26,221
37,25,221
38,25,219
41,24,218
42,22,215
44,21,215
44,21,213
45,20,210
46,19,210
48,19,208
49,18,208
50,18,207
53,17,205
55,16,203
55,16,203
54,14,199
55,13,199
57,13,198
60,12,196
61,11,196
62,11,194
62,11,192
61,12,192
66,8,190
66,8,190
67,7,190
67,8,188
67,6,187
69,6,185
70,5,185
70,5,183
72,4,179
76,3,180
68,6,179
74,1,178
76,1,179
74,4,178
75,1,176
62,0,171
250,89,81
254,0,2
255,1,0
253,3,5
254,3,0
254,1,0
255,2,4
254,6,4
255,5,0
254,5,0
255,6,0
254,7,0
255,8,0
253,9,0
254,10,0
254,10,0
255,11,0
254,12,0
255,13,1
254,14,1
255,15,0
254,17,1
255,18,2
255,18,2
254,19,0
255,20,1
255,20,1
254,22,0
254,24,0
255,25,1
255,26,2
255,27,0
254,29,1
255,30,2
254,31,0
255,32,1
254,34,0
255,35,1
254,36,0
254,36,0
255,38,2
255,40,3
255,40,1
255,42,2
255,44,1
254,45,2
254,46,0
253,47,0
255,49,0
255,49,0
255,51,0
254,53,1
254,53,0
254,55,0
253,57,0
253,57,0
255,59,1
255,59,0
255,61,0
255,63,1
254,65,1
255,66,0
255,68,1
255,68,1
255,71,1
255,71,0
255,73,0
255,73,0
255,75,1
255,76,1
255,78,2
255,78,2
253,80,1
254,81,2
254,82,0
254,83,1
255,85,0
255,86,1
255,88,0
254,89,0
254,90,1
255,92,1
253,92,1
254,94,0
254,95,1
255,97,0
255,98,1
255,98,1
254,100,0
254,100,0
254,102,1
255,104,1
253,104,1
254,105,2
254,107,3
254,107,1
255,109,3
255,110,1
255,110,1
255,112,0
255,113,1
254,114,0
255,115,0
255,115,0
254,117,1
254,118,0
254,119,1
255,121,0
255,122,1
255,124,0
255,125,1
255,125,1
255,127,0
255,127,0
254,129,1
255,130,1
255,133,0
255,134,1
255,135,2
255,136,0
255,138,0
254,138,0
255,139,0
255,139,0
254,141,1
254,143,1
255,144,2
255,144,2
255,148,0
254,148,0
255,149,1
255,151,0
255,152,1
254,153,0
255,154,0
255,154,0
254,157,0
255,158,1
255,158,1
254,160,0
255,161,1
255,163,0
255,163,0
255,163,0
255,166,0
254,167,0
255,168,1
255,169,1
255,170,1
254,172,0
255,173,1
255,173,1
255,176,1
254,177,1
254,177,0
254,179,0
255,180,0
255,182,0
255,182,0
255,183,0
254,186,1
254,186,1
255,187,0
254,189,1
255,190,0
254,191,0
255,192,0
255,192,0
254,194,0
254,194,0
254,196,0
254,196,0
254,198,1
255,199,2
254,201,1
254,201,1
254,201,0
255,202,0
255,202,0
255,204,1
255,204,1
254,206,0
254,206,0
254,206,0
254,208,0
254,208,0
254,208,0
255,209,1
255,210,0
255,211,0
255,211,0
255,212,1
254,213,1
253,213,1
253,213,1
254,214,2
254,215,0
252,216,0
252,216,0
253,217,1
252,216,0
252,216,0
251,216,0
249,216,0
246,215,0
244,215,1
242,215,1
241,214,0
239,215,1
237,216,1
233,217,0
231,216,1
227,216,0
223,217,1
221,216,0
219,216,1
215,216,0
213,217,0
211,216,0
207,216,1
202,215,1
200,215,0
196,215,1
196,215,1
188,217,1
185,214,0
180,213,0
178,212,1
174,212,2
170,213,2
166,212,2
163,209,0
157,209,0
155,209,1
153,209,0
148,208,0
143,206,1
138,205,1
136,205,0
133,205,1
125,204,1
124,203,0
120,203,1
117,201,1
112,200,0
107,199,0
104,198,0
101,197,0
95,197,0
93,197,0
90,196,0
85,195,0
81,194,0
76,193,0
72,192,0
71,192,0
64,189,0
63,189,1
59,188,0
55,188,1
51,187,1
46,186,1
43,186,0
41,185,1
36,185,0
35,183,0
33,183,0
29,183,1
26,181,1
23,180,1
20,179,0
18,179,1
14,179,0
14,179,1
11,178,0
9,178,1
6,177,1
4,176,2
2,176,1
2,176,1
0,174,0
0,174,1
0,173,3
0,173,5
0,173,6
0,172,10
0,172,12
0,172,12
1,172,18
1,172,18
1,171,20
1,171,23
0,171,27
0,171,30
0,171,31
0,171,33
0,170,37
0,170,38
1,170,41
1,170,45
0,170,48
1,170,53
1,170,55
1,169,56
0,169,62
0,169,63
0,169,66
0,169,70
0,169,76
0,168,80
0,168,81
0,168,83
1,170,89
1,169,91
1,169,94
1,168,96
1,168,99
1,168,99
1,167,101
1,167,101
0,168,107
0,168,109
0,167,111
0,167,113
0,168,116
0,168,117
0,168,119
0,167,121
1,168,125
1,168,125
1,167,127
1,167,129
1,166,132
1,166,134
1,166,136
1,165,138
0,166,140
0,165,141
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,153
0,164,157
0,164,157
0,163,158
0,163,160
0,164,163
0,164,165
0,164,166
0,164,166
0,163,170
0,163,170
0,163,172
0,162,173
0,161,176
0,160,178
0,160,180
0,159,181
0,158,183
0,158,183
0,158,185
0,158,185
0,158,187
0,157,188
0,157,190
0,157,190
0,155,193
0,155,195
0,155,195
1,154,196
1,153,200
0,152,201
0,152,201
0,152,202
1,147,206
1,147,206
1,147,207
0,145,210
1,144,212
0,143,213
0,142,214
0,142,216
0,140,219
0,140,219
1,138,219
1,137,221
1,135,222
0,134,223
1,132,223
1,132,223
0,130,228
0,129,230
0,128,229
0,126,229
0,124,230
0,122,231
0,120,232
0,120,233
0,119,237
0,119,237
1,117,238
0,116,239
0,114,239
0,112,240
2,111,242
1,110,241
0,107,242
0,107,242
0,105,243
0,103,244
0,101,245
0,100,246
0,98,247
0,97,246
0,95,249
1,94,249
0,93,250
1,91,250
0,89,251
0,88,250
0,86,251
0,86,251
0,84,252
1,84,252
0,82,252
0,80,253
1,78,254
1,76,253
0,75,254
0,75,254
0,73,255
0,73,255
0,72,254
0,70,254
0,69,253
0,67,252
0,66,251
0,65,253
0,63,255
0,63,255
0,62,255
1,61,255
1,59,254
1,57,254
1,57,254
2,56,253
5,54,253
4,53,252
5,52,252
5,51,251
8,50,250
9,48,249
10,47,249
11,46,249
13,44,246
15,44,246
15,42,245
16,42,243
17,40,242
18,39,240
19,38,239
20,37,239
22,35,237
23,35,235
25,34,235
26,32,232
28,31,230
30,29,227
31,29,227
32,28,226
34,26,223
36,26,221
37,25,221
38,25,219
41,24,218
42,22,215
44,21,215
44,21,213
45,20,210
46,19,210
48,19,208
49,18,208
50,18,207
53,17,205
55,16,203
55,16,203
54,14,199
55,13,199
57,13,198
60,12,196
61,11,196
62,11,194
62,11,192
61,12,192
66,8,190
66,8,190
67,7,190
67,8,188
67,6,187
69,6,185
70,5,185
70,5,183
72,4,179
76,3,180
68,6,179
74,1,178
76,1,179
74,4,178
75,1,176
62,0,171
251,90,82
254,0,2
254,0,0
253,3,5
255,4,0
255,3,0
255,2,4
253,5,3
255,5,0
254,5,0
255,6,0
254,7,0
255,8,0
254,10,0
254,10,0
254,10,0
254,12,0
254,12,0
255,13,1
255,15,2
254,17,1
254,17,1
255,18,2
254,19,2
254,19,0
255,20,0
253,21,0
254,22,0
254,24,0
255,25,1
254,26,1
254,26,1
254,29,1
253,29,1
254,31,0
255,32,1
254,34,0
254,36,1
254,36,0
255,37,1
255,38,2
255,39,2
255,40,1
255,42,2
254,43,0
253,44,1
254,46,0
253,47,0
255,49,0
255,49,0
255,51,0
254,53,1
255,54,0
254,55,0
253,57,0
253,57,0
254,59,1
254,60,0
254,62,0
255,63,1
254,65,1
255,66,0
254,67,0
255,68,1
254,70,0
254,70,0
254,72,0
254,74,0
255,75,0
254,77,1
253,78,0
254,79,0
254,82,0
254,82,0
254,83,1
255,85,0
255,87,0
255,87,0
254,89,0
254,89,0
255,92,1
255,93,2
254,93,2
255,95,1
255,97,0
255,98,1
255,98,1
255,100,0
255,101,1
254,102,1
255,104,1
255,104,1
254,106,0
254,107,1
255,109,0
255,109,0
254,109,2
254,109,0
255,110,1
253,111,0
254,112,0
254,114,0
255,115,0
253,116,0
254,118,0
254,119,1
254,119,1
254,121,0
255,123,0
254,124,0
254,124,0
255,126,0
252,127,0
253,128,0
254,129,1
254,131,1
255,133,0
255,134,1
255,135,2
255,136,0
253,137,0
254,138,1
254,138,1
253,140,0
254,141,0
254,143,1
255,144,2
254,145,0
254,148,0
254,148,0
255,150,0
255,151,0
254,153,0
254,153,0
255,155,0
254,155,0
255,156,0
255,158,1
255,158,0
254,160,0
254,162,0
253,164,0
254,165,0
254,165,0
254,167,0
254,167,0
254,169,1
255,170,1
254,172,2
255,173,1
254,174,1
255,175,2
254,177,1
254,177,0
254,177,0
254,179,0
254,181,0
255,182,0
255,182,0
254,184,0
255,187,2
255,187,2
255,188,1
254,189,1
255,190,0
255,192,1
255,192,0
255,192,0
254,194,0
255,195,1
254,196,0
255,197,1
254,198,1
255,199,2
254,201,1
254,201,1
254,203,0
254,203,0
254,203,0
255,204,1
254,206,0
254,206,0
255,207,1
255,207,1
254,208,1
254,208,0
255,209,1
255,209,1
255,211,2
255,211,0
255,212,1
255,212,1
254,213,1
254,213,1
254,213,1
254,214,2
254,215,0
254,215,0
254,215,0
253,217,1
255,216,0
253,217,1
251,216,0
249,216,0
246,215,0
243,216,2
241,216,1
241,216,1
239,215,1
237,216,1
236,215,0
234,215,1
230,215,0
225,216,1
221,216,0
220,217,2
215,216,0
215,216,0
211,216,0
207,216,1
202,215,1
199,216,0
195,216,1
193,217,1
186,215,1
185,214,0
181,214,1
177,213,1
173,211,1
168,211,0
165,211,1
164,210,0
157,209,2
155,209,1
151,209,1
148,207,1
143,206,1
138,205,1
135,204,1
133,205,1
125,202,0
121,202,1
116,203,0
113,202,0
111,199,0
107,198,0
102,198,0
98,199,1
93,196,1
91,197,1
88,195,1
83,194,1
79,194,2
74,194,1
71,192,1
70,193,1
64,190,2
61,190,1
58,188,0
55,188,1
51,187,1
46,186,1
43,185,2
42,184,1
36,184,0
35,183,1
33,183,0
29,183,1
26,181,1
22,179,0
20,179,0
18,179,1
14,179,1
12,179,1
10,179,2
7,178,1
5,178,1
4,177,0
3,175,1
2,174,0
1,175,2
1,175,2
1,174,4
1,174,6
1,173,9
1,173,11
1,173,13
1,173,13
1,172,16
1,172,18
1,171,20
1,171,21
0,171,25
0,172,28
0,171,31
0,171,31
0,170,37
1,171,39
0,171,41
0,170,45
1,171,49
1,170,53
0,170,55
0,171,57
1,168,63
1,167,65
0,169,68
0,168,72
0,169,76
1,169,81
0,170,82
0,170,84
0,169,88
0,168,93
0,167,97
1,168,99
0,169,98
0,169,98
0,168,103
0,167,106
0,168,107
0,168,107
0,168,109
0,167,111
0,168,116
0,168,117
0,168,119
0,167,121
1,167,127
1,167,127
1,167,129
1,167,131
1,166,132
1,166,134
1,166,136
1,166,136
0,166,140
0,165,141
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,153
1,165,158
1,165,158
1,164,159
1,164,163
1,163,165
1,163,166
1,163,168
1,162,170
0,163,172
0,163,172
0,162,173
0,162,175
0,161,176
0,160,178
0,160,180
0,160,180
0,158,185
0,158,185
0,158,185
0,158,187
0,157,188
0,157,190
0,156,189
0,156,191
0,156,194
2,155,196
1,154,196
1,154,198
0,152,199
1,151,202
1,151,204
1,151,204
2,148,207
1,147,206
1,147,207
1,146,211
1,144,212
0,143,213
0,142,214
0,142,216
1,141,220
0,140,219
2,139,220
1,137,221
1,135,222
0,134,223
1,132,223
1,132,223
0,130,228
0,130,228
0,128,229
0,125,231
1,123,232
0,122,233
1,121,234
0,119,235
0,119,239
2,118,239
1,117,240
1,115,240
0,113,241
0,111,242
0,110,243
0,109,242
1,107,243
0,106,244
2,105,244
1,104,245
1,102,246
0,100,246
0,98,247
0,98,249
0,95,249
0,95,249
0,93,250
1,91,250
1,89,251
0,87,252
0,85,253
0,85,253
0,83,251
1,81,252
0,80,251
0,80,253
1,78,254
1,76,255
0,75,254
0,75,255
0,73,255
2,72,255
1,71,254
1,69,254
0,68,255
2,67,255
1,66,254
1,66,255
1,64,255
2,62,255
2,62,255
2,60,255
2,59,254
3,57,254
3,57,254
3,57,254
4,53,252
4,53,252
5,52,252
5,51,251
7,48,250
9,48,250
9,46,249
10,45,249
12,43,245
14,43,245
15,42,245
16,42,243
18,39,242
21,38,240
21,36,239
21,36,239
23,34,237
23,35,235
25,34,235
26,32,232
29,31,230
30,29,227
31,29,226
32,29,224
37,27,222
38,26,222
38,25,219
40,24,219
41,24,218
43,23,216
44,23,214
44,21,213
46,19,210
48,19,208
49,18,208
50,18,207
51,16,204
52,16,202
52,16,202
54,16,200
55,13,199
55,13,199
57,13,198
58,12,196
60,12,196
60,10,193
61,10,191
61,10,191
64,9,190
66,8,190
67,8,188
68,7,188
69,6,185
70,5,183
70,6,181
72,5,181
74,4,180
72,3,180
73,6,182
71,1,178
78,3,181
78,1,177
75,3,175
65,0,167
251,90,82
254,0,2
254,0,0
253,3,5
255,4,0
255,3,0
255,2,4
253,5,3
255,5,0
254,5,0
255,6,0
254,7,0
255,8,0
254,10,0
254,10,0
254,10,0
254,12,0
254,12,0
255,13,1
255,15,2
254,17,1
254,17,1
255,18,2
254,19,2
254,19,0
255,20,0
253,21,0
254,22,0
254,24,0
255,25,1
254,26,1
255,27,2
254,29,1
253,29,1
254,31,0
255,32,1
254,34,0
254,36,1
254,36,0
255,37,1
255,38,2
255,39,2
255,40,1
255,42,2
255,44,1
253,44,1
254,46,0
253,47,0
255,49,0
255,49,0
255,51,0
254,53,1
255,54,0
254,55,0
253,57,0
254,58,0
254,59,1
254,60,0
254,62,0
255,63,1
254,65,1
255,66,0
255,68,1
255,68,1
254,70,0
254,70,0
254,72,0
254,74,0
255,75,0
254,77,1
254,79,0
254,79,0
254,82,0
254,82,0
254,83,1
255,85,0
255,87,0
255,87,0
254,89,0
254,89,0
255,92,1
255,93,2
254,93,2
255,95,1
255,97,0
255,98,1
255,98,1
255,100,0
255,101,1
254,102,1
255,104,1
255,104,1
254,106,0
254,107,1
255,109,0
255,109,0
254,109,2
254,109,0
255,110,1
254,112,0
254,112,0
254,114,0
255,115,0
253,116,0
255,119,1
254,119,1
254,119,1
254,121,0
255,123,0
254,124,0
254,124,0
255,126,0
252,127,0
253,128,0
254,129,1
254,131,1
255,133,0
255,134,1
255,135,2
255,136,0
253,137,0
254,138,1
254,138,1
253,140,0
254,141,0
254,143,1
255,144,2
254,145,0
254,148,0
254,148,0
255,150,0
255,151,0
254,153,0
254,153,0
255,155,0
254,155,0
255,156,0
255,158,1
255,158,0
254,160,0
254,162,0
253,164,0
254,165,0
254,165,0
254,167,0
254,167,0
254,169,1
255,170,1
254,172,2
255,173,1
255,175,2
255,175,2
254,177,1
254,177,0
255,178,0
254,179,0
254,181,0
255,182,0
255,182,0
254,184,0
255,187,2
255,187,2
255,188,1
254,189,1
255,190,0
255,192,1
255,192,0
255,192,0
254,194,0
255,195,1
254,196,0
255,197,1
254,198,1
255,199,2
254,201,1
254,201,1
254,203,0
254,203,0
254,203,0
255,204,1
254,206,0
254,206,0
255,207,1
255,207,1
254,208,1
254,208,0
255,209,1
255,209,1
255,211,2
255,211,0
255,212,1
255,212,1
254,213,1
254,213,1
254,213,1
254,214,2
254,215,0
254,215,0
254,215,0
253,217,1
255,216,0
253,217,1
251,216,0
249,216,0
246,215,0
243,216,2
241,216,1
241,216,1
237,216,1
237,216,1
236,215,0
234,215,1
230,215,0
225,216,1
221,216,0
220,217,2
215,216,0
215,216,0
211,216,0
207,216,1
202,215,1
199,216,0
195,216,1
193,217,1
186,215,1
185,214,0
181,214,1
177,213,1
173,211,1
168,211,0
165,211,1
164,210,0
156,210,2
155,209,1
151,209,1
148,207,1
143,206,1
138,205,1
133,205,1
132,204,0
125,202,0
121,202,1
116,203,0
113,202,0
111,199,0
107,198,0
102,198,0
98,199,1
93,196,1
91,197,1
88,195,1
83,194,1
78,193,1
74,194,1
71,192,1
70,193,1
64,190,2
61,190,1
58,188,0
55,188,1
51,187,1
46,186,1
43,185,2
42,184,1
36,184,0
35,183,1
33,183,0
29,183,1
26,181,1
22,179,0
20,179,0
18,179,1
14,179,1
12,179,1
10,179,2
7,178,1
5,178,1
4,177,0
3,175,1
2,174,0
1,175,2
1,175,2
1,174,4
1,174,6
1,173,9
1,173,11
1,173,13
1,173,13
1,172,16
1,172,18
1,171,20
1,171,21
0,171,25
0,171,30
0,171,31
0,171,31
0,170,37
1,171,39
0,171,41
0,170,45
1,171,49
1,170,53
0,170,55
0,171,57
1,168,63
1,167,65
0,169,68
0,168,72
0,169,76
1,169,81
0,170,82
0,170,84
0,169,88
0,168,93
0,167,97
1,168,99
0,169,98
0,169,98
0,168,103
0,167,106
0,168,107
0,168,107
0,168,109
0,167,113
0,168,116
0,168,117
0,168,119
0,167,121
1,167,127
1,167,127
1,167,129
1,167,131
1,166,132
1,166,134
1,166,136
1,166,136
0,166,140
0,165,141
0,166,144
0,166,146
0,165,148
0,165,151
0,164,153
0,164,153
1,165,158
1,165,158
1,164,159
1,164,163
1,163,165
1,163,166
